LATITUDE,LONGITUDE,TIME AT WAYPOINT
31.1011231,122.3218221,2023-09-17 15:49:14 +00:00
31.1014277,122.3856746,2023-09-17 16:08:50 +00:00
31.1019675,122.4969785,2023-09-17 16:43:01 +00:00
31.0976757,122.5226726,2023-09-17 16:50:57 +00:00
31.0976801,122.5382766,2023-09-17 16:55:44 +00:00
31.1790131,122.620874,2023-09-17 17:36:29 +00:00
31.32061719,122.7916093,2023-09-17 18:49:16 +00:00
31.3467699,122.8232282,2023-09-17 19:01:30 +00:00
31.3994423,122.9568969,2023-09-17 19:42:46 +00:00
33.95543365,129.4701391,2023-09-19 04:02:56 +00:00
34.18927851,129.6500807,2023-09-19 05:24:36 +00:00
37.70012856,134.3179027,2023-09-20 06:44:10 +00:00
41.00634428,139.4336508,2023-09-21 11:13:57 +00:00
41.12999242,139.7018792,2023-09-21 12:32:45 +00:00
41.2594706,140.1534691,2023-09-21 14:27:45 +00:00
41.6264343,140.8464508,2023-09-21 17:18:38 +00:00
41.6367035,140.9247284,2023-09-21 17:33:46 +00:00
41.6480554,141.3110798,2023-09-21 18:43:40 +00:00
41.67868655,141.4716089,2023-09-21 19:15:34 +00:00
41.6753978,143.267984,2023-09-22 01:27:17 +00:00
41.7226912,143.477009,2023-09-22 02:19:39 +00:00
45.12937267,152.6918048,2023-09-23 17:42:44 +00:00
47.70531434,162.9187832,2023-09-25 09:42:56 +00:00
49.28745968,173.9880131,2023-09-27 00:47:18 +00:00
49.73583666,-173.0684698,2023-09-28 20:34:20 +00:00
48.73897809,-160.268786,2023-09-30 18:24:36 +00:00
46.39784933,-148.2833822,2023-10-02 14:29:51 +00:00
42.91721471,-137.5016034,2023-10-04 11:53:57 +00:00
38.53520977,-128.0041555,2023-10-06 07:36:36 +00:00
34.4640019,-121.1354691,2023-10-07 19:26:15 +00:00
34.3134918,-120.4670563,2023-10-07 22:28:50 +00:00
34.0531158,-119.316467,2023-10-08 03:46:00 +00:00
34.0440018,-119.2762568,2023-10-08 03:57:05 +00:00
34.028592,-119.2439508,2023-10-08 04:06:58 +00:00
33.876094,-118.9237342,2023-10-08 05:45:02 +00:00
33.5996439,-118.3446963,2023-10-08 08:42:40 +00:00
33.5996552,-118.2420197,2023-10-08 09:08:57 +00:00
33.6343519,-118.2007197,2023-10-08 09:24:20 +00:00
33.6509017,-118.1924812,2023-10-08 09:30:10 +00:00
33.6776593,-118.1791578,2023-10-08 09:39:57 +00:00
33.724549,-118.1838255,2023-10-08 09:56:25 +00:00
33.7304419,-118.1969071,2023-10-08 10:00:56 +00:00
33.735482,-118.2062041,2023-10-08 10:04:18 +00:00
33.7371216,-118.2092285,2023-10-08 10:05:24 +00:00
33.7392015,-118.2110953,2023-10-08 10:06:20 +00:00
33.7454,-118.2168833,2023-10-08 10:09:11 +00:00
